id,from,at,to,open,close,min,max,volume,SMA20,EMA50,RSI,MACD,MACD_Signal,Bollinger_High,Bollinger_Low
210817472,1721746330,1721746331000000000,1721746331,1.087635,1.087635,1.087635,1.087635,0,1.0876415,1.0876503581058057,46.095179540683866,-5.729924771769035e-06,-4.8461665534140665e-06,1.0876607613602824,1.0876222386397174
210817473,1721746331,1721746332000000000,1721746332,1.087635,1.087635,1.087635,1.087635,0,1.0876415,1.0876497558271465,46.09517954068387,-5.5971899177720275e-06,-4.996371226285659e-06,1.0876607613602824,1.0876222386397174
210817474,1721746332,1721746333000000000,1721746333,1.087625,1.087625,1.087625,1.087625,0,1.087641,1.0876487850103955,42.427032931181884,-6.227130531666347e-06,-5.242523087361797e-06,1.0876613960780528,1.0876206039219474
210817475,1721746333,1721746334000000000,1721746334,1.087625,1.087625,1.087625,1.087625,0,1.0876394999999999,1.0876478522648898,42.427032931181884,-6.649709297201767e-06,-5.523960329329792e-06,1.0876599694894888,1.087619030510511
210817476,1721746334,1721746335000000000,1721746335,1.087625,1.087625,1.087625,1.087625,0,1.0876389999999998,1.0876469560976392,42.427032931181884,-6.9050093638445276e-06,-5.800170136232739e-06,1.0876603541565024,1.0876176458434972
210817477,1721746335,1721746336000000000,1721746336,1.087615,1.087615,1.087615,1.087615,0,1.0876370000000002,1.0876457029173396,38.59141028346984,-7.824062015604483e-06,-6.204948512107089e-06,1.0876594499443195,1.0876145500556809
210817478,1721746336,1721746337000000000,1721746337,1.087615,1.087615,1.087615,1.087615,0,1.0876355,1.0876444988813654,38.59141028346984,-8.454954412151494e-06,-6.6549496921159705e-06,1.0876595624188297,1.0876114375811703
210817479,1721746337,1721746338000000000,1721746338,1.087615,1.087615,1.087615,1.087615,0,1.087634,1.0876433420624882,38.59141028346984,-8.852890569954752e-06,-7.094537867683727e-06,1.0876592190404246,1.0876087809595754
210817480,1721746338,1721746339000000000,1721746339,1.087605,1.087605,1.087605,1.087605,0,1.0876325,1.0876418384521944,34.67600825931979,-9.86149706894146e-06,-7.647929707935275e-06,1.0876606957443589,1.0876043042556411
210817481,1721746339,1721746340000000000,1721746340,1.087595,1.087595,1.087595,1.087595,0,1.08763,1.0876400016501477,31.26042218865949,-1.1337054900639743e-05,-8.385754746476168e-06,1.0876619374388445,1.0875980625611557
210817482,1721746340,1721746341000000000,1721746341,1.087585,1.087585,1.087585,1.087585,0,1.087627,1.087637844722691,28.26243110984386,-1.3161642319792222e-05,-9.34093226113938e-06,1.0876636606055587,1.087590339394441
210817483,1721746341,1721746342000000000,1721746342,1.087565,1.087565,1.087565,1.087565,0,1.087623,1.0876349880668994,23.423938378288383,-1.6036613747161255e-05,-1.0680068558343755e-05,1.0876675421149022,1.0875784578850978
210817484,1721746342,1721746343000000000,1721746343,1.087545,1.087545,1.087545,1.087545,0,1.087618,1.0876314591230996,19.777586671283984,-1.9701772401070627e-05,-1.248440932688913e-05,1.0876728087584238,1.0875631912415762
210817485,1721746343,1721746344000000000,1721746344,1.087555,1.087555,1.087555,1.087555,0,1.087613,1.0876284607261153,25.98186753933159,-2.155109302859337e-05,-1.429774606722998e-05,1.087671514955353,1.0875544850446468
210817486,1721746344,1721746345000000000,1721746345,1.087545,1.087545,1.087545,1.087545,0,1.0876075,1.0876251877564638,23.98427458163637,-2.3552115252067907e-05,-1.6148619904197566e-05,1.08766974949799,1.0875452505020102
210817487,1721746345,1721746346000000000,1721746346,1.087545,1.087545,1.087545,1.087545,0,1.087603,1.0876220431385633,23.98427458163637,-2.485146753250511e-05,-1.7889189429859078e-05,1.0876695131565932,1.087536486843407
210817488,1721746346,1721746347000000000,1721746347,1.087525,1.087525,1.087525,1.087525,0,1.0875975,1.0876182375252863,20.354380978925448,-2.7181712566548555e-05,-1.9747694057196975e-05,1.0876704040465268,1.0875245959534732
210817489,1721746347,1721746348000000000,1721746348,1.087525,1.087525,1.087525,1.087525,0,1.0875914999999998,1.0876145811517457,20.354380978925448,-2.869764001411923e-05,-2.1537683248581428e-05,1.087667467098141,1.0875155329018587
210817490,1721746348,1721746349000000000,1721746349,1.087525,1.087525,1.087525,1.087525,0,1.0875869999999999,1.0876110681654028,20.354380978925448,-2.955829382611519e-05,-2.314180536408818e-05,1.0876673990049688,1.087506600995031
210817491,1721746349,1721746350000000000,1721746350,1.087525,1.087525,1.087525,1.087525,0,1.0875815,1.0876076929432301,20.354380978925448,-2.9895748592467797e-05,-2.4492594009764105e-05,1.0876630536633143,1.0874999463366857
210817492,1721746350,1721746351000000000,1721746351,1.087535,1.087535,1.087535,1.087535,0,1.0875765000000002,1.087604842239574,27.71207624870854,-2.9021723140676414e-05,-2.539841983594657e-05,1.0876565687204847,1.0874964312795157
210817493,1721746351,1721746352000000000,1721746352,1.087555,1.087555,1.087555,1.087555,0,1.0875724999999998,1.087602887641944,39.70847407627242,-2.6410771881923978e-05,-2.5600890245142052e-05,1.0876483617163002,1.0874966382836995
210817494,1721746352,1721746353000000000,1721746353,1.087545,1.087545,1.087545,1.087545,0,1.0875685000000002,1.0876006175383384,36.45121842829123,-2.486189813932782e-05,-2.5453091823979205e-05,1.087641239260376,1.0874957607396243
210817495,1721746353,1721746354000000000,1721746354,1.087545,1.087545,1.087545,1.087545,0,1.0875645,1.0875984364584035,36.45121842829123,-2.3365066595726347e-05,-2.5035486778328634e-05,1.087633049252367,1.0874959507476332
210817496,1721746354,1721746355000000000,1721746355,1.087545,1.087545,1.087545,1.087545,0,1.0875605,1.0875963409110152,36.45121842829123,-2.1926066764210717e-05,-2.4413602775505052e-05,1.0876235793151523,1.0874974206848476
210817497,1721746355,1721746356000000000,1721746356,1.087525,1.087525,1.087525,1.087525,0,1.087556,1.0875935432282304,30.252357213136804,-2.214421713242487e-05,-2.3959725646889015e-05,1.0876156322060644,1.0874963677939355
210817498,1721746356,1721746357000000000,1721746357,1.087535,1.087535,1.087535,1.087535,0,1.087552,1.0875912474153586,36.103387986778976,-2.1265056114661007e-05,-2.3420791740443415e-05,1.0876057028863295,1.0874982971136706
210817499,1721746357,1721746358000000000,1721746358,1.087535,1.087535,1.087535,1.087535,0,1.087548,1.0875890416343643,36.10338798677897,-2.0333917925663414e-05,-2.280341697748742e-05,1.0875936508488435,1.0875023491511564
